org_id,org_name_norm,org_name,country,city,org_type,budget_total_received,nb_projects,latitude,longitude
AM_INFORMATION_SOCIETY_TECHNOLOGIES_CENTER_a3bd62269f,INFORMATION SOCIETY TECHNOLOGIES CENTER,INFORMATION SOCIETY TECHNOLOGIES CENTER,AM,Yerevan,PUB,48375.0,2,40.2019825,44.5451998
AM_INSTITUTE_FOR_INFORMATICS_AND_AUTOMATION_PROBLEMS_OF_THE_NAT_8b3e26488b,INSTITUTE FOR INFORMATICS AND AUTOMATION PROBLEMS OF THE NATIONAL ACADEMY OF SCIENCES OF THE REPUBLIC OF ARMENIA,INSTITUTE FOR INFORMATICS AND AUTOMATION PROBLEMS OF THE NATIONAL ACADEMY OF SCIENCES OF THE REPUBLIC OF ARMENIA,AM,Yerevan,REC,380608.0,7,40.1776121,44.5125849
AM_INSTITUTE_FOR_PHYSICAL_RESEARCH_OF_NATIONAL_ACADEMY_OF_SCIEN_39629fb686,INSTITUTE FOR PHYSICAL RESEARCH OF NATIONAL ACADEMY OF SCIENCES OF ARMENIA,INSTITUTE FOR PHYSICAL RESEARCH OF NATIONAL ACADEMY OF SCIENCES OF ARMENIA,AM,Ashtarak,REC,356662.5,2,40.2778655,44.400684
AM_INVESTMENT_SUPPORT_CENTER_62939eef5b,INVESTMENT SUPPORT CENTER,INVESTMENT SUPPORT CENTER,AM,Yerevan,OTH,5047.5,4,40.1776121,44.5125849
AM_MINISTRY_OF_EMERGENCY_SITUATIONS_792902a9ae,MINISTRY OF EMERGENCY SITUATIONS,MINISTRY OF EMERGENCY SITUATIONS,AM,Yerevan,PUB,145000.0,1,40.17435675,44.57332230442951
AM_NATIONAL_ACADEMY_OF_SCIENCES_OF_THE_REPUBLIC_OF_ARMENIA_39250a2d6e,NATIONAL ACADEMY OF SCIENCES OF THE REPUBLIC OF ARMENIA,NATIONAL ACADEMY OF SCIENCES OF THE REPUBLIC OF ARMENIA,AM,Yerevan,HES,515957.5,9,40.1776121,44.5125849
AM_STATE_EDUCATIONAL_ESTABLISHMENT_OF_HIGHER_PROFESSIONAL_EDUCA_6b89493546,STATE EDUCATIONAL ESTABLISHMENT OF HIGHER PROFESSIONAL EDUCATION RUSSIAN ARMENIAN SLAVONIC UNIVERSITY,STATE EDUCATIONAL ESTABLISHMENT OF HIGHER PROFESSIONAL EDUCATION RUSSIAN-ARMENIAN (SLAVONIC) UNIVERSITY,AM,Yerevan,HES,462250.0,1,40.1776121,44.5125849
AM_YEREVAN_STATE_MEDICAL_UNIVERSITY_AFTER_MKHITAR_HERATSI_8b15cc8978,YEREVAN STATE MEDICAL UNIVERSITY AFTER MKHITAR HERATSI,YEREVAN STATE MEDICAL UNIVERSITY AFTER MKHITAR HERATSI,AM,Yerevan,HES,930143.75,3,40.1881552,44.5245016
AM_YEREVAN_STATE_UNIVERSITY_FOUNDATION_a9dd800813,YEREVAN STATE UNIVERSITY FOUNDATION,YEREVAN STATE UNIVERSITY FOUNDATION,AM,Yerevan,HES,165600.0,3,40.13454705,44.490202267004506
AO_INSTITUTO_NACIONAL_DE_INVESTIGACAO_EM_SAUDE_6277d01d2c,INSTITUTO NACIONAL DE INVESTIGACAO EM SAUDE,INSTITUTO NACIONAL DE INVESTIGACAO EM SAUDE,AO,Luanda,PUB,0.0,1,-8.8228465,13.2291764
AO_INSTITUTO_NACIONAL_DE_INVESTIGACAO_PESQUEIRA_1c0296ac79,INSTITUTO NACIONAL DE INVESTIGACAO PESQUEIRA,INSTITUTO NACIONAL DE INVESTIGACAO PESQUEIRA,AO,Luanda,REC,143000.0,1,-8.7798518,13.2403947
AO_INSTITUTO_SUPERIOR_POLITECNICO_DO_KWANZA_SUL_68b9386b0d,INSTITUTO SUPERIOR POLITECNICO DO KWANZA SUL,INSTITUTO SUPERIOR POLITECNICO DO KWANZA SUL,AO,Sumbe,HES,0.0,1,-11.2019365,13.8396845
AR_AGENCIA_DE_INNOVACION_Y_ECONOMIA_DEL_CONOCIMIENTO_RIO_NEGRO__9411ed1e8d,AGENCIA DE INNOVACION Y ECONOMIA DEL CONOCIMIENTO RIO NEGRO INNOVA,AGENCIA DE INNOVACION Y ECONOMIA DEL CONOCIMIENTO RIO NEGRO INNOVA,AR,VIEDMA RIO NEGRO,REC,0.0,1,-40.8084274,-62.994722
AR_ALEXANDER_FLEMING_SA_2f7c60d076,ALEXANDER FLEMING SA,ALEXANDER FLEMING SA,AR,BUENOS AIRES,PRC,326025.0,2,-46.5916309,-71.32548897867647
AR_AR30629278598_84c6a7b55e,ANSILTA S A,Ansilta S.A.,AR,La Plata,PRC,0.0,1,-35.652851212244904,-63.75959928367347
AR_AR30644259486_da0991bf2c,UBATEC SA,UBATEC SA,AR,Buenos Aires,PRC,49656.25,1,-36.3789925,-60.3855889
AR_AR30682873864_6015d15bc7,UNIVERSIDAD NACIONAL DE LANUS,UNIVERSIDAD NACIONAL DE LANUS,AR,REMEDIOS DE ESCALADA LANUS,HES,0.0,1,-34.7317118,-58.3901568
AR_AR30707794042_d389a3f82c,PALLIUM LATINOAMERICA ASOCIACION CIVIL,PALLIUM LATINOAMERICA ASOCIACION CIVIL,AR,Buenos Aires,OTH,227250.0,1,-34.578832528571425,-58.43204122857143
AR_AR30708092505_56edd99300,CENTRO DE ENDOCRINOLOGIA Y DIABETES DR RAUL A GUTMAN SRL,CENTRO DE ENDOCRINOLOGIA Y DIABETES DR. RAUL A. GUTMAN SRL,AR,Buenos Aires,PRC,22195.28,1,,
AR_AR30710762682_113a2fe150,SERVIVERDE S A,SERVIVERDE S.A.,AR,La Plata,PRC,0.0,1,-34.9206797,-57.9537638
AR_AR30712204326_38335ac944,BIG DATA ANALYTICS SA,BIG DATA ANALYTICS SA,AR,VICENTE LOPEZ,PRC,198909.9,1,,
AR_AR30712332480_b6e29872b2,STREAM SA,STREAM SA,AR,La Plata,PRC,0.0,1,-34.9476103625,-57.953528212500004
AR_ASCENTIO_TECHNOLOGIES_SA_a39686bed7,ASCENTIO TECHNOLOGIES SA,ASCENTIO TECHNOLOGIES SA,AR,RIO CUARTO,PRC,0.0,1,-31.90259985,-58.33304855702653
AR_ASOCIACION_CIVIL_DE_ESTUDIOS_SUPERIORES_4bc7cb9102,ASOCIACION CIVIL DE ESTUDIOS SUPERIORES,ASOCIACION CIVIL DE ESTUDIOS SUPERIORES,AR,Buenos Aires,HES,0.0,1,-34.6533542755102,-58.5527934877551
AR_ASOCIACION_CIVIL_INSTITUTO_DE_INVESTIGACIONES_GINO_GERMANI_810fb82312,ASOCIACION CIVIL INSTITUTO DE INVESTIGACIONES GINO GERMANI,ASOCIACION CIVIL - INSTITUTO DE INVESTIGACIONES GINO GERMANI,AR,Ciudad De Buenos Aires,,0.0,1,-34.5978671,-58.3990755
AR_ASOCIACION_CIVIL_POR_LA_IGUALDAD_YLA_JUSTICIA_A_C_I_J_3ba1c0679d,ASOCIACION CIVIL POR LA IGUALDAD YLA JUSTICIA A C I J,ASOCIACION CIVIL POR LA IGUALDAD YLA JUSTICIA A.C.I.J,AR,Ciudad Autónoma De Buenos Aires,OTH,0.0,1,-34.57201125,-58.41938880789681
AR_CENTRO_DESARROLLO_Y_PESCA_SUSTENTABLE_CEDEPESCA_b5a9956f04,CENTRO DESARROLLO Y PESCA SUSTENTABLE CEDEPESCA,CENTRO DESARROLLO Y PESCA SUSTENTABLE CEDEPESCA,AR,Mar Del Plata,REC,0.0,1,-38.03986167346939,-57.54978589795918
AR_CENTRO_DE_INVESTIGACION_Y_EXTENSION_FORESTAL_ANDINO_PATAGONI_211e6912b0,CENTRO DE INVESTIGACION Y EXTENSION FORESTAL ANDINO PATAGONICO,CENTRO DE INVESTIGACION Y EXTENSION FORESTAL ANDINO PATAGONICO,AR,Esquel,REC,0.0,1,-42.905283350000005,-71.13356504036274
AR_CENTRO_ROSARINO_DE_ESTUDIOS_PERINATALES_ASOCIACION_4d331a4c49,CENTRO ROSARINO DE ESTUDIOS PERINATALES ASOCIACION,CENTRO ROSARINO DE ESTUDIOS PERINATALES ASOCIACION,AR,Rosario,REC,686062.0,1,-32.945313985714286,-60.65786705714286
AR_COMISION_NACIONAL_DE_ENERGIA_ATOMICA_99f252c791,COMISION NACIONAL DE ENERGIA ATOMICA,COMISION NACIONAL DE ENERGIA ATOMICA,AR,BUENOS AIRES,REC,0.0,9,-34.5397763,-58.4651087664748
AR_CONSEJO_NACIONAL_DE_INVESTIGACIONES_CIENTIFICAS_Y_TECNICAS_C_aeb94c3c9b,CONSEJO NACIONAL DE INVESTIGACIONES CIENTIFICAS Y TECNICAS CONICET,CONSEJO NACIONAL DE INVESTIGACIONES CIENTIFICAS Y TECNICAS (CONICET),AR,Buenos Aires,REC,1133226.88,46,-34.5826289888889,-58.4288470111111
AR_FUNDACION_AMBIENTE_Y_RECURSOS_NATURALES_FARN_0bdb52cd1a,FUNDACION AMBIENTE Y RECURSOS NATURALES FARN,FUNDACION AMBIENTE Y RECURSOS NATURALES - FARN,AR,BUENOS AIRES,REC,74500.0,1,-36.3789925,-60.3855889
AR_FUNDACION_INSTITUTO_LELOIR_d3de2cc8b2,FUNDACION INSTITUTO LELOIR,FUNDACION INSTITUTO LELOIR,AR,Buenos Aires,REC,0.0,2,-34.6043079,-58.4342976704965
AR_FUNDACION_MARIA_CECILIA_DE_AYUDA_AL_NINO_ONCOLOGICO_16ce0e5c16,FUNDACION MARIA CECILIA DE AYUDA AL NINO ONCOLOGICO,FUNDACION MARIA CECILIA DE AYUDA AL NINO ONCOLOGICO,AR,Buenos Aires,OTH,94750.0,1,-36.3789925,-60.3855889
AR_FUNDACION_NATALI_DAFNE_FLEXER_00f79e0356,FUNDACION NATALI DAFNE FLEXER,FUNDACION NATALI DAFNE FLEXER,AR,Buenos Aires,OTH,108750.0,1,-34.5883066,-58.3929857
AR_FUNDACION_UNIVERSIDAD_CATOLICA_ARGENTINA_SANTA_MARIA_DE_LOS__d617c7a372,FUNDACION UNIVERSIDAD CATOLICA ARGENTINA SANTA MARIA DE LOS BUENOS AIRES,FUNDACION UNIVERSIDAD CATOLICA ARGENTINA SANTA MARIA DE LOS BUENOS AIRES,AR,Buenos Aires,HES,0.0,2,-34.6127564,-58.3661481
AR_FUNDACION_UNIVERSIDAD_DE_SAN_ANDRES_974d7321d0,FUNDACION UNIVERSIDAD DE SAN ANDRES,FUNDACION UNIVERSIDAD DE SAN ANDRES,AR,Victoria Buenos Aires,HES,40975.0,3,-34.4470689,-58.53215
AR_GOBIERNO_DE_LA_CIUDAD_DE_BUENOS_AIRES_7b1bc0756c,GOBIERNO DE LA CIUDAD DE BUENOS AIRES,GOBIERNO DE LA CIUDAD DE BUENOS AIRES,AR,CITY OF BUENOS AIRES,PUB,125000.0,1,-34.57201125,-58.41938880789681
AR_HOSPIAL_PRIVADO_CENTRO_MEDICO_DE_CORDOBA_SA_92a2f4dbc7,HOSPIAL PRIVADO CENTRO MEDICO DE CORDOBA SA,HOSPIAL PRIVADO CENTRO MEDICO DE CORDOBA SA,AR,Cordoba,PRC,295000.0,1,-31.4412479,-64.2070399
AR_HOSPITAL_DE_PEDIATRIA_SAMIC_PROF_DR_JUAN_P_GARRAHAN_9ca2ac56a6,HOSPITAL DE PEDIATRIA SAMIC PROF DR JUAN P GARRAHAN,HOSPITAL DE PEDIATRIA SAMIC PROF. DR. JUAN P. GARRAHAN,AR,Buenos Aires,REC,591493.18,2,-34.620145,-58.3931981
AR_IBERCONSA_DE_ARGENTINA_SA_5e47c033d8,IBERCONSA DE ARGENTINA SA,IBERCONSA DE ARGENTINA SA,AR,Puerto Madryn,PRC,0.0,1,-42.71072825,-65.09488665965682
AR_INSTITUTO_DE_AGROBIOTECNOLOGIA_ROSARIO_S_A_ab11204507,INSTITUTO DE AGROBIOTECNOLOGIA ROSARIO S A,INSTITUTO DE AGROBIOTECNOLOGIA ROSARIO S.A.,AR,ROSARIO,PRC,204678.75,1,-32.9595003,-60.6615414
AR_INSTITUTO_DE_INVESTIGACIONES_EN_CIENCIA_Y_TECNOLOGIA_DE_MATE_8575923cb8,INSTITUTO DE INVESTIGACIONES EN CIENCIA Y TECNOLOGIA DE MATERIALES,INSTITUTO DE INVESTIGACIONES EN CIENCIA Y TECNOLOGIA DE MATERIALES,AR,Mar Del Plata,REC,272175.0,2,-37.9977224,-57.5482702
AR_INSTITUTO_NACIONAL_DE_TECNOLOGIA_AGROPECUARIA_4ae9a19755,INSTITUTO NACIONAL DE TECNOLOGIA AGROPECUARIA,INSTITUTO NACIONAL DE TECNOLOGIA AGROPECUARIA,AR,Buenos Aires,REC,1105971.25,12,-34.6984647,-58.4341895
